מספר כתב יד,מדור ומדף,תיאור הכתב יד,"תגית: מקורי (בגוכתי""ק)",תגית: צילום/העתק,"תגית: אדמו""ר הזקן","תגית: אדמו""ר האמצעי",תגית: הצמח צדק,"תגית: אדמו""ר המהר""ש",תגית: סוג - דרושים,תגית: סוג - פנקסים,"תגית: אדמו""ר הרש""ב","תגית: אדמו""ר הריי""צ",תגית: קאפוסט,תגית: באברויסק,תגית: סטראשעלע,תגית: פאריטש,מספר עמודים
89,לד,"דרושי אדמו""ר מהרש""ז מקאפוסט אדמו""ר מהרש""נ מבאברויסק דרושים אחדים מ: אדמו""ר הצ""צ 18*22 ס""מ. (310) דף. לפני ד""ה ויגש מונח דפים רנז-רנח: ביאור על התורה שבת שבתון תקע""א לפ""ק בכריכה האחורית מבפנים: דאנציג",,,,,V,,V,,,,V,V,,,305
90,,,,,,,,,,,,,,,,,0
91,לד,"בוך את קשתי - כ""נ בכ""מ (ע""ש התחלתו). כולל דרושי אדמו""ר מהרש""נ מבאברויסק * רובם בכתי""ק. 17*22.5 ס""מ. תס דף. המפתח לבוך זה במס' 84. השוה מס'     .303",,,,,,,V,,,,,V,,,496
92,לו,"צילום תשובות הורביץ, ישכר בער הלוי (רב בליובאוויטש)",,V,,,,,,,,,,,,,0
93,*,ראה מס'                               55 ואיש כי ימרט - באברויסק,,,,,,,,,,,,V,,,196
94,לד,"מלוקט - דרושים, פתגמים וסיפורים מרבותינו ועוד. כהנ""ל נרשם ע""י א' מחסידי מהרש""ז מקאפוסט. 10.5*17 ס""מ. (3), שג דף. זהה למס'                           .1007 ע""י ר""א וולף. קיצור תניא - באב' וולף תניא -וולף",,,,,,,V,,,,V,,,,314
95,לד,"בוך השמים כסאי - כך נק' בכ""מ (ע""ש התחלתה). כולל דרושי אדמו""ר מהרש""נ מבאברויסק * גוכתי""ק. בע' שסג: בס""ד תרמד 17.5*23 ס""מ. שפה דף. על כריכה האחורית מבפנים: דאנציג אבי זקני",,,,,,,V,,,,,V,,,443
96,לד,"דרושי אדמו""ר מהרש""נ מבאברויסק * גוכתי""ק. מהשנים: תרס-תרסג 18*22 ס""מ. שפט דף. על כריכה האחורית מבפנים: דאנציג",,,,,,,V,,,,,V,,,416
97,לד,"""בוך באברויסק א"" (כ""נ בראש לוח המפתחות). והם דרושי אדמו""ר מהרש""נ מבאברויסק משנות: תרסא-תרעג רובם נדפסו (מבוך זה) בספר שמן למאור 17*22 ס""מ. (3), תקסב, (5) דף.",,,,,,,V,,,,,V,,,560
98,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ ועוד. 18*23 ס""מ. (259) דף. בעלים: ש. זלמן ב""ר ארי' ליב זצ""ל צימקין זוין, ש.י. נקרא: והוא מסבות מתהפך - זעווין",,,V,V,V,,V,,,,,,,,249
99,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ כולל גם ח""ג מספר אמרי בינה 17.5*22 ס""מ. דפים: יט-קפ על הכריכה הקדמית: שייך לה""ה שלמה יוסף זוין (מעזבון אאמו""ר הררא""מ ז""ל, מעזבון חותנו אא""ז הרה""ח ר' שמואל אברהם ז""ל רב דפאריטש). על כריכה האחורית מבחוץ - כתובת הרש""י בת""א, ובולים רוסיים - למשלוח הבוך אליו.",,,V,V,V,,V,,,,,,,V,164
100,לד,"דרושי אדמו""ר הצ""צ ובניו, הלל, הר""ה מפאריטש 17*22 ס""מ. תמז דף. בעלים: זוין, ש.י. בדף הראשון נרשם - כנ""ל מס'           .99",,,,,V,,V,,,,,,,V,442
101,לד,"דרושי הלל, הר""ה מפאריטש ועוד. 17*21.5 ס""מ. רמא דף. דפים ח-י, קכה-קלז, קמט-קנט - חסרים בדף הראשון:"" ב""ה דא""ח (רובו ככולו מהרה""צ ר""ה מפאריטש ז""ל) מעזבון אא""ז הרה""ג ר' שמואל אברהם [פלאטקין] זצ""ל רב דפאריטש. שיז =]שלמה יוסף זוין] עפמ""ש בהקדמת המו""ל של ספר פלח הרמון על שה""ש - נראה שחלקו נדפס מכאן. בבוך מס' 102 (קפג,א) נסמן בוך זה:"" עה"".",,,,,,,V,,,,,,,V,188
102,לד,"רובו דרושי הלל, הר""ה מפאריטש וכולל גם דרושי אדמו""ר מהר""ש אדמו""ר מהרחש""ז מלאדי 17*22 ס""מ. רצט דף. המפתח - בדף שלאחר רפא רעט,א: אגרת הויכוח והשלום בבוך מס' 101 (קז,א) נסמן בוך זה"" ע""ו"" בדף הראשון: מספרי עזבון אאמ""ו.. מעזבון חותנו.. ר' שמואל אברהם פלאטקין ז""ל רב דפאריטש. שלמה יוסף זוין",,,,,,V,V,,,,,,,V,295
103,לד,"מלוקט - דרושי אדמו""ר הזקן תקסב ודרושי אדמו""ר הצ""צ הלל, הר""ה מפאריטש",,,V,,V,,V,,,,,,,V,100
104,לד,"מלוקט -דרושי אדמו""ר האמצעי אדמו""ר הצ""צ הלל, הר""ה מפאריטש בדף מג,ב: פירוש מזמור קז שבתהלים ל: ישראל, הבעש""ט בדף מט,א: פ' דברים תקצה 17*21 ס""מ. ריט דף. בראש המפתח: שייך ליורשי המנוח ר' ליפא פייגינבערג ע""ה נדבת ה""ר ש.י. זוין",,,,V,V,,V,,,,,,,V,240
105,לד,"דרושי אדמו""ר הזקן 18.5*23 ס""מ. קפב (30) דף. המפתח בתחלתו ובדף קצ,ב. בדף המגן הקדמי - כנ""ל מס'            .99 קמז,א: מכתב אדמו""ר האמצעי (לחתני ב""א). שם: פה דובראוונא                תקצח הכותב: שור, זעליג בעלים: זוין, ש.י.",,,V,V,,,V,,,,,,,,216
106,לד,"רובו דרושי הלל, הר""ה מפאריטש ואחדים מ: אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 17.5*22 ס""מ. לב, פט-קיא, קסו דף. בדף המגן הקדמי - כנ""ל מס'            .99 קסו,ב: שייכים להרב המ""ץ שמואל אברהם מפאריטש כה,א: תשובת יהודה ליב, מהרי""ל מיאנאוויטש יד,ב (השני): מכתב ישראל, הבעש""ט בעלים: זוין ש.י.",,,V,V,V,,V,,,,,,,V,230
107,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי 18*22 ס""מ. קצד דף כמה דרושים הם כנראה העתקה בכתי""ק הרה""ק הלל, הר""ה מפאריטש בדף השני: שייך להרב הלל הלוי..אב""ד..מ""ץ דק""ק באברויסק על דף המגן הקדמי - כנ""ל מס'           99 בעלים:זוין ש.י.",,V,V,V,,,V,,,,,V,,V,218
108,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ אדמו""ר מהר""ש 16*21 ס""מ. תקלח דף. בעלים: שניאור צבי ברלוי""צ שניאורסאהן ממאסקווע. ע.ז. סלונים",,,V,,V,V,V,,,,,,,,531
109,לד,"כנראה רובו דרושי אדמו""ר הזקן וכמה מדרושי אדמו""ר הצ""צ בכ""מ - העתקת הגהות הצ""צ על דרושים אלו. בכ""מ עה""ג - הגהות בכת""י מה""ר ריבלין, אליהו יוסף המפתח - בסופו. 11*17.5 ס""מ. (2), קפ, (21) דף. קעה,א: אגרת הטעמים -חלק מספר מצרף העבודה בעלים: סלונים ע.ז. בתחלתו: הגיה מו""ה חיים אברהם להבין המאמר - סלונים",,V,V,,V,,V,,,,,,,,215
110,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ ואחדים מ: אהרן, הר""א מסטראשעלא 17*22 ס""מ. רנו דף.יש דפים בני גודל שונה. בעלים: ביהמ""ד אהל יצחק ירושלים. סלונים ע.ז. מכתב - סלונים",,,V,,V,,V,,,,,,,,249
111,לד,"דרושי אדמו""ר הזקן אדמו""ר הצ""צ ואחדים מ: אדמו""ר האמצעי הלל, הר""ה מפאריטש 18*22.5 ס""מ. רמח דף. בעלים: ביהמ""ד אהל יצחק ירושלים. סלונים ע.ז. נומר ג' סלונים",,,V,V,V,,V,,,,,,,V,258
112,לד,"דרושי אדמו""ר מהרחש""ז מלאדי - עכ""פ חלקו. 17*22 ס""מ. קעה דף. בעלים: שמוטקין, שמואל. סלונים ע.ז.",,,,,,,V,,,,,,,,181
113,לד,"דרושי אדמו""ר הצ""צ ואחדים מ: אדמו""ר הזקן אדמו""ר האמצעי 18*23 ס""מ. רמד דף. בעלים: סלונים, ע.ז. - ע""י זיסלין. גן נעול - סלונים",,,V,V,V,,V,,,,,,,,95
114,לד,"דרושי אדמו""ר הצ""צ 16.5*20.5 ס""מ. תג דף. סד,א: הנחה מה שאמר בן אדמו""ר מהרש""ב מליובאוויטש תרנא רצט,ב: חותמת ברוסית: ביח""ר למי-סודה.. ש.א. עלקין. בערעזנא, פלך צ'רניגוב. בתחלתו נכרך תניא (ווין חש""ד) בעלים: סלונים ע.ז. לקו""א - סלונים",,,,,V,,V,,V,,,,,,373
115,לד,"דרושי אדמו""ר הזקן נכתב בחייו 16*21 ס""מ. דפים: ד-קעה. בסופו: שייך לה""ה..יעקב חיים בלאמו""ה יחיאל..מק""ק קרעפינע. ד' אליהו בלאמו""ה יעקב חיים.  בעלים: סלונים ע.ז. אז ישיר - סלונים",,,V,,,,V,,,,,,,,184
116,לד,"דרושי אדמו""ר האמצעי 17.5*22.5 ס""מ. יז, קנא דף. בעלים: ביהמ""ד אהל יצחק ירושלים. סלונים ע.ז. ויתן לך - סלונים",,,,V,,,V,,,,,,,,158
117,לד,"דרושי אדמו""ר האמצעי ואחדים מ: אדמו""ר הזקן 17*21 ס""מ. רא, (74) דף בעלים: יהודה זרחי' שפירא סלונים ע.ז. שמח - סלונים",,,V,V,,,V,,,,,,,,272
118,לד,"דרושים, מכתבים וסיפורים מ: אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 12*19 ס""מ. 171 דף. בעלים: סלונים ע.ז.",,,V,V,V,,V,,,,,,,,172
119,לד,"ביאור תניא ל: יעקב מקיידאן קיצורים לתניא ל: אדמו""ר הצ""צ ועוד. 10.5*17 ס""מ. 26, 75, (80) דף בעלים: סלונים ע.ז. (של זוין?).",,,,,V,,,,,,,,,,94
120,לד,"דרושי אדמו""ר מהר""ש משנות: תרכ""ט-תרל""ב ועוד. כת""י מעתיקים שונים. 15*20.5 ס""מ. 429-23 דף. 299 ואילך: מצות עדות שבספר ה    חקירה 309 ואילך: מצות הלל שבספר דרך מצותיך אשר ל: אדמו""ר הצ""צ :1,405 נכתבה פה ק""ק חברון ביום ה' תשרי שנת תרלה לפ""ק הבחור פינחס ב""ר יונה נ""י על דף האחרון: שייך זה הביכעל להרבני התורני המופל' מו""ה אהרן יצחק בהרב משה צבי נאה..",,,,,V,V,V,,,,,,,,401
121,לד,"דרושים ומכתבים מ: אדמו""ר האמצעי בסופו מכתבים מ: פינחס, הרה""ק מקארעץ אהרן, הר""א מסטראשעלא המפתח - בסוף. 12.5*19.5 ס""מ. רעו דף. בעלים: ביהמ""ד אהל יצחק ירושלים. סלונים ע.ז. רעה,ב: שייכים להאברך .. ישראל מאיר. בוך אשר - סלונים",,,,V,,,V,,,,,,,,160
122,לד,"דרושי אדמו""ר הצ""צ ובניו 17.5*22.5 ס""מ. שיג דף. בעלים: זיסלין.  סלונים ע.ז. סז,ב: אהובי..אהרן טעקבנין, נא ליתן.. 400 רוכס""ף..חיים אברהם..מצארניגוב.. תקע""ו לפ""ק, פה ווילנא.",,,,,V,,V,,,,,,,,160
123,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 12*20 ס""מ. רנז דף. בכ""מ חותמת: שמואל בצלאל..מליובאוויטש [רשב""ץ] וכן חותמת אדמו""ר מהריי""צ בעלים: סלונים ע.ז.",,,V,V,V,,V,,,V,,,,,263
124,לד,"דרושי אדמו""ר הצ""צ על ס' דברים. 16.5*21.5 ס""מ. קפז דף. בעלים: סלונים ע.ז.  ע""י זיסלין. ציון במשפט תפדה - סלונים",,,,,V,,V,,,,,,,,80
125,לד,"דרושי אדמו""ר מהרחש""ז מלאדי ועוד. 18*22 ס""מ. שטז דף. בכ""מ חותמת: לוי יצחק..הלוי שוביץ סופר סת""ם ירושלים ת""ו.  בסוף המפתח שבתחלתו: שייך לר' ישראל קראק בעלים: סלונים משה",,,,,,,V,,,,,,,,40
126,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי 11*16.5 ס""מ. רה, (10) דף. בשער: לקוטי כ""ק.. וויטעפסק                 תרטז קע,ב: הועתק מגוף תורת חיים בעלים: עזבון סלונים ע""י זיסלין.",,,V,V,,,V,,,,,,,,315
127,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 12*18 ס""מ. (4), רה דף. בעלים: סלונים ע.ז.",,,V,V,V,,V,,,,,,,,191
128,לד,"מלוקט מדרושי אדמו""ר הזקן אדמו""ר הצ""צ ובניו. מכתבים, סיפורים ועוד. 17.5*21 ס""מ. שנא דף. בעלים: סלונים ע.ז. לך לך - סלונים",,,V,,V,,V,,,,,,,,365
129,לד,"בוך"" דרשו - סלונים"". רובו דרושי אדמו""ר הצ""צ וכמה דרושים כנראה מ: אדמו""ר הזקן 11.5*17.5 ס""מ. 190 דף.",,,V,,V,,V,,,,,,,,177
130,לד,"פירוש המלות אדמו""ר האמצעי פרקים צד-קסה, ואחריו ד""ה אד' שפתי תפתח. בסופו ד""ה להבין ענין חמר מדינה. כת""י מעתיקים שונים. 11.5*18.5 ס""מ. ס, (19), ג, (39) דף. בכ""מ חותמת:חותם דביהכ""נ בית מנחם ירושלים בעלים: סלונים ע.ז.",,,,V,,,,,,,,,,,112
131,לד,"דרושי אדמו""ר האמצעי 18*23 ס""מ. שב דף בעלים: לוי יצחק סלונים. דפים צט-קח: פירוש המלות.",,,,V,,,V,,,,,,,,273
132,לד,"דרושי אדמו""ר מהרחש""ז מלאדי אדמו""ר מהרי""ד מלאדי 17*21.5 ס""מ. (220) דף.",,,,,,,V,,,,,,,,213
133,לד,"דרושי הלל, הר""ה מפאריטש ועוד. 16.5*20.5 ס""מ. רכ דף בא' הדפים חלקים שבתחלתו חותמת ברוסית: מ.ד. חן ניעזשין. ובא' מהם: שמות של מתגרשים, ושלוחי הולכה. נסמן: נו' 3",,,,,,,V,,,,,,,V,230
134,לד,"בוך"" חן - ""4. דרושי דא""ח, ביניהם דרושי הלל, הר""ה מפאריטש אדמו""ר מהר""ש כת""י מעתיקים שונים. חסר בתחלתו. 16.5*21.5 ס""מ. 153 דף בלתי מסומנים. כולל:"" תו' מהרה""ה ז""ל ביאור לד""ה קול דודי שבלקו""ת"". ש""פ משפטים-יום א' לסדר תצוה, ש""פ במדבר -יום ש""ק פ' נשא תרט יום ה' פ' נשא - שבת פ' נשא תרי ש""ש תרלט בא' מדפים האחרונים: שייך להמופ' המפורסם גדול שבישראל..מוהר""ר דוד צבי בהרה""ג מו""ה פרץ נ""י.",,,,,,V,V,,,,,,,V,158
135,לד,"בוך"" חן - ""17. דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ כת""י מעתיקים שונים. על הכריכה הקדמית מבפנים - מפתח. 18*22 ס""מ. נסמנו 302 דפים [ודפים   - 277 280 נכרכו בסוף]. אבל חסרים דפים באמצע. "":121 בעז""ה תורה פ' בחוקתי דשנת תקפט לפ""ק מהרמ""מ שיחי'"" "":251 בעז""ה פורים תקפז :270 תורת אדמו""ר שי' תקצא",,,V,V,V,,V,,,,,,,,232
136,לד,"בוך"" וידבר - חן"". רובו דרושי אדמו""ר הצ""צ כת""י מעתיקים שונים. דפים ב-נז,א העתק בוך במדבר 18.5*22 ס""מ. רסט דף. קד,ב: חג השבועות תקצה קו,ב: הו""ר תקצו קט - קכב: רשימות לתהלים, נדפסו בספר יהל אור רנה,א:"" בעז""ה מ""ש אדמו""ר שליט""א שנת תרכב רנז,א: בס""ד מ: ברוך שלום, הרב""ש שבת פ' פנחס שנת תרכז רסא,א: בס""ד לפ' וירא שנת תרכו",,V,,,V,,V,,,,,,,,278
137,לד,"בוך"" חן - ""25. רשימות על תהילים ל: אדמו""ר הצ""צ הנדפס בספר יהל אור כולו כת""י מעתיק אחד. חסר בתחלתו. 17*21 ס""מ. (283) דף.",,,,,V,,,,,,,,,,296
138,לד,"בוך: חן 47 שער היחוד אדמו""ר האמצעי עד אמצע פרק האחרון. בהרבה שינויי לשון מהנדפס, גם הפרקים מ-מא שבנדפס הם בפרק א' 11*17.5 ס""מ. 97 דף.",,,,V,,,,,,,,,,,104
139,לד,"דרושי אדמו""ר הזקן ממנו נדפס (חלק מ)ספר בונה ירושלים 17*22 ס""מ. דף עט. קנז-קצח דף. מאוסף חן.",,,V,,,,V,,,,,,,,45
140,לד,"כולל דרושי אדמו""ר מהר""ש הלל, הר""ה מפאריטש ועוד. 17*21 ס""מ. 153 דף. מאוסף חן אור לי""ד - חן",,,,,,V,V,,,,,,,V,155
141,לד,"דרושי אדמו""ר הצ""צ ואחדים מ: אדמו""ר הזקן אדמו""ר האמצעי 11*18 ס""מ. 345 דף בתחלתו - 35 כללים בקבלה ,356ב: אגה""ת מהדו""ק בעלים: פרץ חן.",,,V,V,V,,V,,,,,,,,367
142,לד,"בוך"" חן - ""96. רובו דרושי הלל, הר""ה מפאריטש רובו כת""י מעתיק א'. בסופו מפתח. 13.5*21 ס""מ. 84 דף. ,51ב: הנחת אדמו""ר מהרחש""ז מלאדי על הכריכה הקדמים מבפנים חותמת: חיים דוד צבי בהרב המפורסם ר' פרץ זצ""ל חן רב בעיר טשערניהאוו.",,,,,,,V,,,,,,,V,80
143,לד,"רובו דרושי אדמו""ר הצ""צ רובו כת""י מעתיק א'. 17*21 ס""מ. (100) דף רובם חלקים, 108 דף. בדפים הראשונים קיצורי דרושים ותשובה אחת בענין העברת שו""ב, בכת""י מחבר (אוטוגרף) הזהה לכת""י שנמצא במס'       .161,151,149 בתשובה הנ""ל מזכיר את אדמו""ר הצ""צ, וכן את שלחן ערוך"" אדמו""ר סבא"" [כנראה תירגום לביטוי"" אלטער רבי""].",,,,,V,,V,,,,,,,,118
144,לד,"מלוקט מדרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ אהרן, הר""א מסטראשעלא ועוד. 18*22.5 ס""מ. 95 דף. מאוסף חן",,,V,V,V,,V,,,,,,,,98
145,לד,"דורשי אדמו""ר מהר""ש 17*21 ס""מ. נה דף.",,,,,,V,,,,,,,,,69
146,לד,"דרושי אדמו""ר האמצעי ואחדים מ: אדמו""ר הזקן אדמו""ר הצ""צ 18*23 ס""מ. לג,,(10)כ,כא,,(19)יד,(14) דף. בעלים: אלימלך ב""ר מרדכי שארלבערג בהרב .. אלימלך שטאלבערג חוזר דהרב.. שניאור זלמן זצוק""ל.   אחרי דרוש האחרון: שנת תר""ך לפ""ק היה הכתב הזה אצלי, דברי יהודה יצחק פה קרעמענטשוק. מאוסף חן. כי אתה - חן",,,V,V,V,,V,,,,,,,,144
147,לד,"בוך"" ויקהל - חן"" (מס' (51. דרושי אדמו""ר הזקן כולל כמה אגרות שנדפסו באגה""ק. כת""י מעתיק א'. בראשו מפתח 11*17 ס""מ. רמז דף. (חסרים דפים: קכ-קכט קס-קעה). תניא בסוף יומא - חו",,,V,,,,V,,,,,,,,226
148,לד,"דרושי אדמו""ר הזקן אדמו""ר האמצעי אדמו""ר הצ""צ 10*17 ס""מ. רלב, - 64) חלק), נח ע'. קכט,א: פירוש ישראל, הבעש""ט למזמור קז שבתהלים קרוב לסופו כמה חתימות: יעקב ליב ליבערמאן.   מאוסף חן. רפאני - חן",,,V,V,V,,V,,,,,,,,304
149,לד,"דרושי חסידות - ספק למי. אוטוגראף. (כתב דומה במס': 143, 151,                (161 17*20 ס""מ. 87 דף. 47א: ביאור על התניא 53א: עיין בביכעל הגדול שלי. הנה הדרוש הזה שמעתי מבני אדמו""ר שי'. בדף המגן הקדמי: שייך להרב..דוד צבי הירש .. חן. מסומן: נו' 19",,,,,,,V,,,,,,,,70
150,לד,"כנראה דרושי הלל, הר""ה מפאריטש 13*20.5 ס""מ. 130 דף. מאוסף חן. מסומן: נו' 20",,,,,,,V,,,,,,,V,117
151,לד,"בוך"" חן - ""21. כמה דרושים מ: אדמו""ר הצ""צ הלל, הר""ה מפאריטש ורובו רשימות בדא""ח בכת""י מחבר (אוטוגרף) הנמצא גם במס': 143, 149,            .161 15.5*19 ס""מ. 132 דף. 15א: תרמט בעז""ה דברנו בשבועות דרוש ואלה המשפטים מהר""ה זצ""ל ועדיין לא זכיתי לרשום אותו, ורשמתי אותו בדרך סימן וכו'. 51א:"" ב""ה תורת אדמו""ר שהניח הרב ר' הלל מפארעץ על הכתב"". 71א:"" בעזרת השם, אור ליום ג' כ""ד אלול שנת תרפא ..וכמבואר כ""ז בארוכה (בפרט בדרושי הרש""ב זצלה""ה זי""ע באריכות רב בפרט בדרוש תרס""ו ותחילת ס""ז)"".",,,,,V,,V,,V,,,,,V,83
152,לד,"בוך"" חן - ""22. דרושי הלל, הר""ה מפאריטש כת""י מעתיק א' (לבד 4 דפים האחרונים). 17*21 ס""מ. 96 דף. ,20ב: שבת וישב תרח משם ועד פ' שלח כל הדרושים מאותה שנה. ,38ב:"" [חסר בביכיל של ר' הילל זי""ע]. ,58א:"" מאמר דיום ב' דחג השבועות לא העתקתי שהי' האותיות מטושטשים וחסרי' בסופו"".   86,א:"" ביאור על כה תברכו מה שרשמתי עפ""י איזה דברים ששמעתי מאדמו""ר שליט""א ועפ""י ביאור הנמצא בכתובים עליו"". מעתיק זה העתיק את דרושי ר""ה גם בבוך מס' 133 דפים מה-קפו, ולפי סימוני העמודים כאן ושם ניתן לשער שזהו אותו בוך שפורק. על הכריכה הקדמית מבפנים חותמת כנ""ל  .141",,V,,,,,V,,,,,,,V,100
153,לד,"בוך"" חן - ""23. בתחלתו כמה מצוות מסהמ""צ ל אדמו""ר הצ""צ הנדפס בספר דרך מצותיך ורובו כנראה דרושי הלל, הר""ה מפאריטש כולל ביאור קונט' ההתפעלות. ביאור שער היחוד. הנדפס בספר לקוטי ביאורים ועוד. 18*23.5 ס""מ. (28), סד, (76) דף. קרוב לסופו:"" תורת אדמו""ר נ""ע מלובאוויטש"" גם:"" דברים רשומים שרשם א' מהשומעים מא' סומך כו' ועיני כל שבסידור הנדפס לפי הבנתו בקצת תס' ביאור"". נכרך עמו: הגדה של פסח ע""פ זרע גד.",,,,,V,,V,,,,,,,V,206
